Array.Data.File,group
GSM558296_MPI-664.CEL,1
GSM558297_MPI-665.CEL,1
GSM558298_MPI-667.CEL,1
GSM558299_MPI-679.CEL,1
GSM558300_MPI-684.CEL,1
GSM558301_MPI-686.CEL,1
GSM558302_MPI-688.CEL,1
GSM558303_MPI-689.CEL,1
GSM558304_MPI-691.CEL,1
GSM558305_MPI-692.CEL,1
GSM558306_MPI-693.CEL,1
GSM558307_MPI-694.CEL,1
GSM558308_MPI-695.CEL,1
GSM558309_MPI-696.CEL,1
GSM558310_MPI-699.CEL,1
GSM558311_MPI-702.CEL,1
GSM558312_MPI-703.CEL,1
GSM558313_MPI-704.CEL,0
GSM558314_MPI-705.CEL,1
GSM558315_MPI-706.CEL,1
GSM558316_MPI-708.CEL,1
GSM558317_MPI-713.CEL,1
GSM558318_MPI-714.CEL,1
GSM558319_MPI-716.CEL,1
GSM558320_MPI-723.CEL,1
GSM558321_MPI-724.CEL,1
GSM558322_MPI-730.CEL,1
GSM558323_MPI-731.CEL,1
GSM558324_MPI-732.CEL,1
GSM558325_MPI-733.CEL,1
GSM558326_MPI-734.CEL,1
GSM558327_MPI-735.CEL,1
GSM558328_MPI-737.CEL,1
GSM558329_MPI-744.CEL,1
GSM558330_MPI-745.CEL,1
GSM558331_MPI-746.CEL,1
GSM558332_MPI-748.CEL,1
GSM558333_MPI-749.CEL,1
GSM558334_MPI-755.CEL,1
GSM558335_MPI-756.CEL,1
GSM558336_MPI-757.CEL,0
GSM558337_MPI-760.CEL,1
GSM558338_MPI-761.CEL,1
GSM558339_MPI-762.CEL,1
GSM558340_MPI-765.CEL,1
GSM558341_MPI-766.CEL,1
GSM558342_MPI-767.CEL,1
GSM558343_MPI-768.CEL,1
GSM558344_MPI-769.CEL,1
GSM558345_MPI-780.CEL,1
GSM558346_MPI-781.CEL,1
GSM558347_MPI-782.CEL,1
GSM558348_MPI-783.CEL,1
GSM558349_MPI-788.CEL,1
GSM558350_MPI-789.CEL,1
GSM558351_MPI-790.CEL,1
GSM558352_MPI-791.CEL,1
GSM558353_MPI-792.CEL,1
GSM558354_MPI-794.CEL,1
GSM558355_MPI-795.CEL,1
GSM558356_MPI-796.CEL,1
GSM558357_MPI-797.CEL,1
GSM558358_MPI-798.CEL,1
GSM558359_MPI-799.CEL,1
GSM558360_MPI-800.CEL,0
